文物编号,纹饰,类型,颜色,色系,表面风化,wx,ky,wenB,wenC,sLl,sSr,sLs
1,C,高钾,蓝绿,蓝绿系,无风化,0,1,0,1,1,0,0
2,A,铅钡,浅蓝,蓝色系,风化,1,0,0,0,0,0,1
3,A,高钾,蓝绿,蓝绿系,无风化,0,1,0,0,1,0,0
4,A,高钾,蓝绿,蓝绿系,无风化,0,1,0,0,1,0,0
5,A,高钾,蓝绿,蓝绿系,无风化,0,1,0,0,1,0,0
6,A,高钾,蓝绿,蓝绿系,无风化,0,1,0,0,1,0,0
7,B,高钾,蓝绿,蓝绿系,风化,1,1,1,0,1,0,0
8,C,铅钡,紫,深暗系,风化,1,0,0,1,0,1,0
9,B,高钾,蓝绿,蓝绿系,风化,1,1,1,0,1,0,0
10,B,高钾,蓝绿,蓝绿系,风化,1,1,1,0,1,0,0
11,C,铅钡,浅蓝,蓝色系,风化,1,0,0,1,0,0,1
12,B,高钾,蓝绿,蓝绿系,风化,1,1,1,0,1,0,0
13,C,高钾,浅蓝,蓝色系,无风化,0,1,0,1,0,0,1
14,C,高钾,深绿,蓝绿系,无风化,0,1,0,1,1,0,0
15,C,高钾,浅蓝,蓝色系,无风化,0,1,0,1,0,0,1
16,C,高钾,浅蓝,蓝色系,无风化,0,1,0,1,0,0,1
17,C,高钾,浅蓝,蓝色系,无风化,0,1,0,1,0,0,1
18,A,高钾,深蓝,蓝色系,无风化,0,1,0,0,0,0,1
19,A,铅钡,,未记录,风化,1,0,0,0,0,0,0
20,A,铅钡,浅蓝,蓝色系,无风化,0,0,0,0,0,0,1
21,A,高钾,蓝绿,蓝绿系,无风化,0,1,0,0,1,0,0
22,B,高钾,蓝绿,蓝绿系,风化,1,1,1,0,1,0,0
23,A,铅钡,蓝绿,蓝绿系,风化,1,0,0,0,1,0,0
24,C,铅钡,紫,深暗系,无风化,0,0,0,1,0,1,0
25,C,铅钡,浅蓝,蓝色系,风化,1,0,0,1,0,0,1
26,C,铅钡,紫,深暗系,风化,1,0,0,1,0,1,0
27,B,高钾,蓝绿,蓝绿系,风化,1,1,1,0,1,0,0
28,A,铅钡,浅蓝,蓝色系,风化,1,0,0,0,0,0,1
29,A,铅钡,浅蓝,蓝色系,风化,1,0,0,0,0,0,1
30,A,铅钡,深蓝,蓝色系,无风化,0,0,0,0,0,0,1
31,C,铅钡,紫,深暗系,无风化,0,0,0,1,0,1,0
32,C,铅钡,浅绿,蓝绿系,无风化,0,0,0,1,1,0,0
33,C,铅钡,深绿,蓝绿系,无风化,0,0,0,1,1,0,0
34,C,铅钡,深绿,蓝绿系,风化,1,0,0,1,1,0,0
35,C,铅钡,浅绿,蓝绿系,无风化,0,0,0,1,1,0,0
36,C,铅钡,深绿,蓝绿系,风化,1,0,0,1,1,0,0
37,C,铅钡,深绿,蓝绿系,无风化,0,0,0,1,1,0,0
38,C,铅钡,深绿,蓝绿系,风化,1,0,0,1,1,0,0
39,C,铅钡,深绿,蓝绿系,风化,1,0,0,1,1,0,0
40,C,铅钡,,未记录,风化,1,0,0,1,0,0,0
41,C,铅钡,浅绿,蓝绿系,风化,1,0,0,1,1,0,0
42,A,铅钡,浅蓝,蓝色系,风化,1,0,0,0,0,0,1
43,C,铅钡,浅蓝,蓝色系,风化,1,0,0,1,0,0,1
44,A,铅钡,浅蓝,蓝色系,风化,1,0,0,0,0,0,1
45,A,铅钡,浅蓝,蓝色系,无风化,0,0,0,0,0,0,1
46,A,铅钡,浅蓝,蓝色系,无风化,0,0,0,0,0,0,1
47,A,铅钡,浅蓝,蓝色系,无风化,0,0,0,0,0,0,1
48,A,铅钡,,未记录,风化,1,0,0,0,0,0,0
49,A,铅钡,黑,深暗系,风化,1,0,0,0,0,1,0
50,A,铅钡,黑,深暗系,风化,1,0,0,0,0,1,0
51,C,铅钡,浅蓝,蓝色系,风化,1,0,0,1,0,0,1
52,C,铅钡,浅蓝,蓝色系,风化,1,0,0,1,0,0,1
53,A,铅钡,浅蓝,蓝色系,风化,1,0,0,0,0,0,1
54,C,铅钡,浅蓝,蓝色系,风化,1,0,0,1,0,0,1
55,C,铅钡,绿,蓝绿系,无风化,0,0,0,1,1,0,0
56,C,铅钡,蓝绿,蓝绿系,风化,1,0,0,1,1,0,0
57,C,铅钡,蓝绿,蓝绿系,风化,1,0,0,1,1,0,0
58,C,铅钡,,未记录,风化,1,0,0,1,0,0,0
