模型,品类,WAPE,MASE,RMSSE,pinball10,pinball50,pinball90
季节朴素,花叶类,0.2407,0.9374,0.6725,,,
季节朴素,食用菌,0.2464,1.0597,0.6893,,,
季节朴素,辣椒类,0.2346,1.1174,0.7346,,,
季节朴素,水生根茎类,0.3862,0.813,0.5502,,,
季节朴素,茄类,0.3609,0.9134,0.7018,,,
季节朴素,花菜类,0.367,0.7341,0.6128,,,
STL+岭回归,花叶类,0.2221,0.8552,0.5608,,,
STL+岭回归,食用菌,0.2263,0.9176,0.6017,,,
STL+岭回归,辣椒类,0.2186,1.0304,0.672,,,
STL+岭回归,水生根茎类,0.3786,0.6829,0.4513,,,
STL+岭回归,茄类,0.323,0.8564,0.6521,,,
STL+岭回归,花菜类,0.3561,0.6632,0.5432,,,
STL+HistGradientBoosting(无断货处理),花叶类,0.1828,0.7049,0.4941,8.502,17.864,12.2665
STL+HistGradientBoosting(无断货处理),食用菌,0.1944,0.8282,0.547,4.1312,10.7459,8.4446
STL+HistGradientBoosting(无断货处理),辣椒类,0.2077,0.9754,0.6237,5.6346,13.8786,9.4516
STL+HistGradientBoosting(无断货处理),水生根茎类,0.3062,0.63,0.4263,2.1884,5.6087,3.9091
STL+HistGradientBoosting(无断货处理),茄类,0.2892,0.7462,0.5742,1.1805,2.9604,2.1892
STL+HistGradientBoosting(无断货处理),花菜类,0.2923,0.5607,0.4708,1.8712,4.7484,3.4167
STL+HistGradientBoosting(断货剔除),花叶类,0.1857,0.7175,0.506,8.4295,18.1859,12.6728
STL+HistGradientBoosting(断货剔除),食用菌,0.1917,0.8185,0.5375,4.3769,10.6119,8.4454
STL+HistGradientBoosting(断货剔除),辣椒类,0.2022,0.9529,0.6201,5.8169,13.5485,9.5943
STL+HistGradientBoosting(断货剔除),水生根茎类,0.2974,0.6156,0.4123,2.1379,5.4774,4.0296
STL+HistGradientBoosting(断货剔除),茄类,0.2885,0.7477,0.5722,1.1609,2.9652,2.2884
STL+HistGradientBoosting(断货剔除),花菜类,0.2948,0.569,0.4754,1.8227,4.8184,3.5475
STL+HistGradientBoosting(断货修复),花叶类,0.1857,0.7165,0.5003,7.7119,18.1607,12.4499
STL+HistGradientBoosting(断货修复),食用菌,0.2024,0.8543,0.5563,4.1072,11.0873,8.2403
STL+HistGradientBoosting(断货修复),辣椒类,0.2081,0.9705,0.6253,5.9684,13.8067,9.0896
STL+HistGradientBoosting(断货修复),水生根茎类,0.3056,0.6319,0.4295,2.1743,5.6248,3.8667
STL+HistGradientBoosting(断货修复),茄类,0.2851,0.7348,0.5685,1.2138,2.9159,2.1472
STL+HistGradientBoosting(断货修复),花菜类,0.2993,0.5772,0.4819,1.8542,4.8901,3.4449
