分类名称,销售日期,正价,品相折扣,清仓,总销量,正价占比,品相折扣占比,清仓占比
水生根茎类,2020-07-01,4.85,,,4.85,1.0,,
水生根茎类,2020-07-02,4.6,,,4.6,1.0,,
水生根茎类,2020-07-03,4.41,,5.162,9.572,0.4607187630589219,,0.5392812369410782
水生根茎类,2020-07-04,5.439,,,5.439,1.0,,
水生根茎类,2020-07-05,4.019,,,4.019,1.0,,
水生根茎类,2020-07-06,2.708,0.381,,3.0890000000000004,0.8766591129815474,0.12334088701845256,
水生根茎类,2020-07-07,3.117,,,3.117,1.0,,
水生根茎类,2020-07-08,10.605,,,10.605,1.0,,
水生根茎类,2020-07-09,2.106,,,2.106,1.0,,
水生根茎类,2020-07-10,8.781,0.244,,9.025,0.9729639889196676,0.02703601108033241,
水生根茎类,2020-07-11,7.406,1.522,,8.927999999999999,0.8295250896057348,0.17047491039426527,
水生根茎类,2020-07-12,12.625,1.369,,13.994,0.9021723595826783,0.09782764041732171,
水生根茎类,2020-07-13,10.342,1.263,,11.605,0.8911676001723395,0.10883239982766048,
水生根茎类,2020-07-14,8.682,0.325,,9.007,0.9639169534806262,0.03608304651937382,
水生根茎类,2020-07-15,9.615,0.382,0.241,10.238,0.9391482711467084,0.03731197499511624,0.023539753858175427
水生根茎类,2020-07-16,10.183,1.171,,11.354,0.896864541130879,0.10313545886912102,
水生根茎类,2020-07-17,10.727,,,10.727,1.0,,
水生根茎类,2020-07-18,7.242,3.176,,10.418,0.6951430216932233,0.30485697830677677,
水生根茎类,2020-07-19,8.204,2.92,,11.124,0.7375044947860482,0.2624955052139518,
水生根茎类,2020-07-20,9.003,0.5449999999999999,,9.548,0.9429199832425639,0.057080016757436104,
水生根茎类,2020-07-21,11.445,1.299,,12.744,0.8980696798493409,0.10193032015065913,
水生根茎类,2020-07-22,9.999,0.632,0.419,11.05,0.9048868778280543,0.0571945701357466,0.037918552036199094
水生根茎类,2020-07-23,25.973,0.444,4.0,30.416999999999998,0.8538974915343394,0.014597100305750075,0.13150540815991058
水生根茎类,2020-07-24,10.983,0.444,0.313,11.740000000000002,0.9355195911413968,0.03781942078364565,0.026660988074957405
水生根茎类,2020-07-25,7.516,2.908,,10.424,0.7210283960092095,0.27897160399079046,
水生根茎类,2020-07-26,11.031,1.957,,12.988000000000001,0.8493224514936865,0.1506775485063135,
水生根茎类,2020-07-27,16.436,0.579,0.25,17.265,0.9519837822183608,0.03353605560382276,0.014480162177816391
水生根茎类,2020-07-28,13.508,0.451,,13.959,0.9676910953506698,0.032308904649330186,
水生根茎类,2020-07-29,18.054000000000002,0.543,,18.597,0.9708017422164865,0.02919825778351347,
水生根茎类,2020-07-30,8.316,2.3289999999999997,,10.645,0.781211836542978,0.21878816345702207,
水生根茎类,2020-07-31,19.062,,,19.062,1.0,,
水生根茎类,2020-08-01,19.1,1.849,0.483,21.432000000000002,0.891190742814483,0.08627286300858528,0.02253639417693169
水生根茎类,2020-08-02,50.274,,5.88,56.154,0.8952879581151832,,0.10471204188481674
水生根茎类,2020-08-03,15.555,,,15.555,1.0,,
水生根茎类,2020-08-04,26.208,,,26.208,1.0,,
水生根茎类,2020-08-05,21.451999999999998,,,21.451999999999998,1.0,,
水生根茎类,2020-08-06,19.115000000000002,,,19.115000000000002,1.0,,
水生根茎类,2020-08-07,25.415,,,25.415,1.0,,
水生根茎类,2020-08-08,27.461,,,27.461,1.0,,
水生根茎类,2020-08-09,25.9,,,25.9,1.0,,
水生根茎类,2020-08-10,30.683,,,30.683,1.0,,
水生根茎类,2020-08-11,19.681,,0.777,20.458000000000002,0.9620197477759311,,0.03798025222406882
水生根茎类,2020-08-12,27.355,,,27.355,1.0,,
水生根茎类,2020-08-13,19.324,,,19.324,1.0,,
水生根茎类,2020-08-14,29.991,,,29.991,1.0,,
水生根茎类,2020-08-15,25.642,,,25.642,1.0,,
水生根茎类,2020-08-16,24.454,,,24.454,1.0,,
水生根茎类,2020-08-17,15.916,,,15.916,1.0,,
水生根茎类,2020-08-18,21.753,,,21.753,1.0,,
水生根茎类,2020-08-19,17.95,,,17.95,1.0,,
水生根茎类,2020-08-20,22.966,,,22.966,1.0,,
水生根茎类,2020-08-21,34.598,,,34.598,1.0,,
水生根茎类,2020-08-22,42.772,,,42.772,1.0,,
水生根茎类,2020-08-23,46.057,,,46.057,1.0,,
水生根茎类,2020-08-24,20.305,,,20.305,1.0,,
水生根茎类,2020-08-25,20.062,,,20.062,1.0,,
水生根茎类,2020-08-26,18.95,,,18.95,1.0,,
水生根茎类,2020-08-27,19.487000000000002,,,19.487000000000002,1.0,,
水生根茎类,2020-08-28,20.997,,,20.997,1.0,,
水生根茎类,2020-08-29,65.814,,,65.814,1.0,,
水生根茎类,2020-08-30,30.005,,,30.005,1.0,,
水生根茎类,2020-08-31,52.949,,,52.949,1.0,,
水生根茎类,2020-09-01,47.658,,,47.658,1.0,,
水生根茎类,2020-09-02,17.941,,,17.941,1.0,,
水生根茎类,2020-09-03,15.996,,,15.996,1.0,,
水生根茎类,2020-09-04,16.635,,,16.635,1.0,,
水生根茎类,2020-09-05,42.554,,,42.554,1.0,,
水生根茎类,2020-09-06,42.579,,4.384,46.963,0.9066499158912336,,0.09335008410876648
水生根茎类,2020-09-07,37.689,,1.237,38.926,0.9682217540975183,,0.031778245902481635
水生根茎类,2020-09-08,19.127,,,19.127,1.0,,
水生根茎类,2020-09-09,12.161,,,12.161,1.0,,
水生根茎类,2020-09-10,14.492,,,14.492,1.0,,
水生根茎类,2020-09-11,13.364,,,13.364,1.0,,
水生根茎类,2020-09-12,16.957,,,16.957,1.0,,
水生根茎类,2020-09-13,18.739,,,18.739,1.0,,
水生根茎类,2020-09-14,17.361,,,17.361,1.0,,
水生根茎类,2020-09-15,19.219,,,19.219,1.0,,
水生根茎类,2020-09-16,15.501,1.6,1.717,18.817999999999998,0.8237325964502074,0.08502497608672549,0.0912424274630673
水生根茎类,2020-09-17,17.437,,,17.437,1.0,,
水生根茎类,2020-09-18,11.389,,,11.389,1.0,,
水生根茎类,2020-09-19,39.431,,,39.431,1.0,,
水生根茎类,2020-09-20,39.551,,,39.551,1.0,,
水生根茎类,2020-09-21,16.289,,,16.289,1.0,,
水生根茎类,2020-09-22,37.808,,,37.808,1.0,,
水生根茎类,2020-09-23,18.629,,,18.629,1.0,,
水生根茎类,2020-09-24,46.652,,5.234,51.886,0.8991250048182554,,0.10087499518174459
水生根茎类,2020-09-25,22.732,,,22.732,1.0,,
水生根茎类,2020-09-26,65.744,,,65.744,1.0,,
水生根茎类,2020-09-27,28.289,,,28.289,1.0,,
水生根茎类,2020-09-28,11.860999999999999,,,11.860999999999999,1.0,,
水生根茎类,2020-09-29,24.135,,,24.135,1.0,,
水生根茎类,2020-09-30,36.839,,,36.839,1.0,,
水生根茎类,2020-10-01,55.356,,,55.356,1.0,,
水生根茎类,2020-10-02,21.931,,,21.931,1.0,,
水生根茎类,2020-10-03,18.497,,,18.497,1.0,,
水生根茎类,2020-10-04,19.253999999999998,,,19.253999999999998,1.0,,
水生根茎类,2020-10-05,79.752,,,79.752,1.0,,
水生根茎类,2020-10-06,25.784,,,25.784,1.0,,
水生根茎类,2020-10-07,52.071,,0.836,52.907,0.9841986882643129,,0.01580131173568715
水生根茎类,2020-10-08,31.952,,,31.952,1.0,,
水生根茎类,2020-10-09,45.216,,6.26,51.476,0.878389929287435,,0.12161007071256508
水生根茎类,2020-10-10,22.07,,,22.07,1.0,,
水生根茎类,2020-10-11,57.223,,,57.223,1.0,,
水生根茎类,2020-10-12,29.969,2.091,6.273000000000001,38.333000000000006,0.7818067983199853,0.05454830042000365,0.16364490126001094
水生根茎类,2020-10-13,46.823,,3.6959999999999997,50.519,0.9268394069557988,,0.0731605930442012
水生根茎类,2020-10-14,46.207,,,46.207,1.0,,
水生根茎类,2020-10-15,35.355,,6.8069999999999995,42.162,0.8385513021203927,,0.16144869787960722
水生根茎类,2020-10-16,52.785,,6.188000000000001,58.973,0.8950706255405015,,0.10492937445949843
水生根茎类,2020-10-17,84.728,,2.3920000000000003,87.11999999999999,0.9725436179981635,,0.027456382001836553
水生根茎类,2020-10-18,75.006,,4.332,79.338,0.9453981698555548,,0.054601830144445286
水生根茎类,2020-10-19,39.38,,1.22,40.6,0.9699507389162562,,0.03004926108374384
水生根茎类,2020-10-20,46.423,,3.011,49.434000000000005,0.9390905045110652,,0.06090949548893474
水生根茎类,2020-10-21,17.773,,3.428,21.201,0.8383095137021839,,0.16169048629781613
水生根茎类,2020-10-22,28.709,,7.208,35.917,0.7993150875629924,,0.20068491243700753
水生根茎类,2020-10-23,29.948,,0.853,30.801000000000002,0.9723060939579883,,0.02769390604201162
水生根茎类,2020-10-24,60.756,,7.176,67.932,0.8943649531884825,,0.1056350468115174
水生根茎类,2020-10-25,63.082,3.478,4.6,71.16,0.8864811691961777,0.048875772906127046,0.06464305789769534
水生根茎类,2020-10-26,20.666,,,20.666,1.0,,
水生根茎类,2020-10-27,20.755,,0.518,21.273,0.9756498848305363,,0.02435011516946364
水生根茎类,2020-10-28,14.625,12.609,5.184,32.418,0.45113825652415324,0.3889505830094392,0.15991116046640755
水生根茎类,2020-10-29,15.828,,,15.828,1.0,,
水生根茎类,2020-10-30,17.029,,1.7400000000000002,18.769,0.9072939421386329,,0.09270605786136717
水生根茎类,2020-10-31,73.563,,5.702,79.265,0.928064088815997,,0.07193591118400303
水生根茎类,2020-11-01,54.875,6.99,9.467,71.33200000000001,0.7692900801884146,0.09799248584085683,0.1327174339707284
水生根茎类,2020-11-02,15.053,,,15.053,1.0,,
水生根茎类,2020-11-03,14.238,,1.4889999999999999,15.727,0.9053220576079354,,0.09467794239206459
水生根茎类,2020-11-04,18.183,,,18.183,1.0,,
水生根茎类,2020-11-05,8.347,,,8.347,1.0,,
水生根茎类,2020-11-06,11.57,,1.8730000000000002,13.443000000000001,0.8606709811797961,,0.13932901882020382
水生根茎类,2020-11-07,60.508,,10.905,71.413,0.847296710682929,,0.1527032893170711
水生根茎类,2020-11-08,55.582,,2.625,58.207,0.9549023313347192,,0.04509766866528081
水生根茎类,2020-11-09,13.408,0.636,0.535,14.578999999999999,0.9196789903285548,0.04362439124768503,0.03669661842376021
水生根茎类,2020-11-10,9.913,,2.19,12.103,0.8190531273238041,,0.180946872676196
水生根茎类,2020-11-11,15.549,0.201,1.405,17.155,0.9063829787234041,0.011716700670358496,0.08190032060623724
水生根茎类,2020-11-12,14.446,,1.505,15.951,0.9056485486803335,,0.09435145131966646
水生根茎类,2020-11-13,13.047,,0.7190000000000001,13.766,0.9477698677902078,,0.052230132209792245
水生根茎类,2020-11-14,51.705,,6.422,58.126999999999995,0.8895177800333752,,0.11048221996662481
水生根茎类,2020-11-15,39.231,1.5550000000000002,4.567,45.353,0.8650144422640178,0.03428659625603599,0.1006989614799462
水生根茎类,2020-11-16,13.998000000000001,,0.452,14.450000000000001,0.9687197231833911,,0.031280276816609
水生根茎类,2020-11-17,20.615,0.937,3.21,24.762,0.8325256441321379,0.037840239076003555,0.1296341167918585
水生根茎类,2020-11-18,16.646,,2.525,19.171,0.8682906473319076,,0.13170935266809244
水生根茎类,2020-11-19,18.393,,4.5840000000000005,22.977,0.8004961483222353,,0.19950385167776474
水生根茎类,2020-11-20,20.641,1.505,0.334,22.479999999999997,0.918193950177936,0.06694839857651246,0.014857651245551605
水生根茎类,2020-11-21,91.691,,4.098,95.789,0.9572184697616637,,0.04278153023833634
水生根茎类,2020-11-22,67.538,,,67.538,1.0,,
水生根茎类,2020-11-23,34.987,,,34.987,1.0,,
水生根茎类,2020-11-24,40.528,,4.164,44.692,0.9068289626778842,,0.0931710373221158
水生根茎类,2020-11-25,31.807,5.034,1.856,38.697,0.8219500219655269,0.13008760369020853,0.04796237434426441
水生根茎类,2020-11-26,24.099,,,24.099,1.0,,
水生根茎类,2020-11-27,20.1,,3.0780000000000003,23.178,0.8672016567434636,,0.1327983432565364
水生根茎类,2020-11-28,30.289,,,30.289,1.0,,
水生根茎类,2020-11-29,31.494,,,31.494,1.0,,
水生根茎类,2020-11-30,16.105,1.5390000000000001,0.837,18.481,0.8714355283804989,0.08327471457172231,0.045289757047778795
水生根茎类,2020-12-01,25.029,,,25.029,1.0,,
水生根茎类,2020-12-02,22.394,,0.585,22.979,0.9745419731058792,,0.025458026894120717
水生根茎类,2020-12-03,30.514,,4.834,35.348,0.8632454452868621,,0.13675455471313794
水生根茎类,2020-12-04,67.286,8.816,11.148,87.25,0.7711862464183381,0.10104297994269341,0.12777077363896847
水生根茎类,2020-12-05,39.772,,3.7460000000000004,43.518,0.9139206765016774,,0.08607932349832254
水生根茎类,2020-12-06,89.278,,4.4830000000000005,93.76100000000001,0.9521869433986412,,0.047813056601358775
水生根茎类,2020-12-07,51.414,0.702,8.011,60.126999999999995,0.8550900593743245,0.011675287308530277,0.13323465331714537
水生根茎类,2020-12-08,69.831,6.892,1.6219999999999999,78.345,0.8913268236645606,0.08796987682685559,0.020703299508583826
水生根茎类,2020-12-09,20.512,15.755,3.63,39.897000000000006,0.5141238689625786,0.3948918465047497,0.09098428453267161
水生根茎类,2020-12-10,34.621,,13.827,48.448,0.7146012219286658,,0.28539877807133424
水生根茎类,2020-12-11,55.726,,,55.726,1.0,,
水生根茎类,2020-12-12,69.513,,1.9569999999999999,71.47,0.9726178816286555,,0.02738211837134462
水生根茎类,2020-12-13,73.578,,,73.578,1.0,,
水生根茎类,2020-12-14,22.631,39.392,3.494,65.51700000000001,0.34542179892241703,0.6012485309156401,0.0533296701619427
水生根茎类,2020-12-15,48.224,,3.545,51.769,0.9315227259556877,,0.06847727404431224
水生根茎类,2020-12-16,38.283,4.3149999999999995,4.684,47.282,0.8096738716636352,0.09126094496848694,0.09906518336787785
水生根茎类,2020-12-17,41.824,0.284,5.821,47.928999999999995,0.8726240897994951,0.005925431367230696,0.12145047883327423
水生根茎类,2020-12-18,55.335,1.087,6.9399999999999995,63.362,0.8733152362614817,0.017155392822196268,0.10952937091632207
水生根茎类,2020-12-19,86.825,,,86.825,1.0,,
水生根茎类,2020-12-20,76.108,,1.205,77.313,0.984414005406594,,0.015585994593406025
水生根茎类,2020-12-21,46.846000000000004,,1.622,48.468,0.9665346207807213,,0.033465379219278696
水生根茎类,2020-12-22,37.828,,0.87,38.698,0.9775182179957621,,0.022481782004237946
水生根茎类,2020-12-23,36.104,,7.726,43.83,0.8237280401551449,,0.17627195984485514
水生根茎类,2020-12-24,52.558,,9.264999999999999,61.823,0.8501366805234298,,0.1498633194765702
水生根茎类,2020-12-25,60.415,,5.569,65.984,0.9156007516973812,,0.08439924830261883
水生根茎类,2020-12-26,103.905,,,103.905,1.0,,
