品类,销售日期,P10,P50,P90
花叶类,2023-07-01,175.5,209.4,287.8
花叶类,2023-07-02,129.1,168.8,246.7
花叶类,2023-07-03,96.5,128.1,192.0
花叶类,2023-07-04,118.4,147.4,190.6
花叶类,2023-07-05,116.3,158.6,196.7
花叶类,2023-07-06,125.3,149.4,174.5
花叶类,2023-07-07,120.6,145.3,195.8
食用菌,2023-07-01,41.9,73.2,86.0
食用菌,2023-07-02,41.0,66.1,79.5
食用菌,2023-07-03,34.5,45.5,60.0
食用菌,2023-07-04,30.7,46.0,56.4
食用菌,2023-07-05,39.0,52.2,68.0
食用菌,2023-07-06,41.2,53.0,64.5
食用菌,2023-07-07,40.3,58.2,68.1
辣椒类,2023-07-01,72.5,105.0,158.0
辣椒类,2023-07-02,65.0,90.6,131.9
辣椒类,2023-07-03,67.5,76.7,102.8
辣椒类,2023-07-04,60.4,75.9,94.5
辣椒类,2023-07-05,57.7,71.0,97.6
辣椒类,2023-07-06,67.7,77.7,119.2
辣椒类,2023-07-07,64.2,79.5,106.2
水生根茎类,2023-07-01,18.1,28.1,43.3
水生根茎类,2023-07-02,16.6,26.0,43.4
水生根茎类,2023-07-03,9.7,14.5,25.7
水生根茎类,2023-07-04,13.3,19.9,27.4
水生根茎类,2023-07-05,12.9,21.3,30.3
水生根茎类,2023-07-06,15.9,28.8,52.3
水生根茎类,2023-07-07,15.2,25.7,38.8
茄类,2023-07-01,23.2,33.5,47.4
茄类,2023-07-02,24.1,35.1,48.5
茄类,2023-07-03,14.9,26.5,31.2
茄类,2023-07-04,11.0,18.5,25.1
茄类,2023-07-05,15.8,21.0,27.1
茄类,2023-07-06,11.1,20.0,28.3
茄类,2023-07-07,19.0,26.4,34.3
花菜类,2023-07-01,17.5,34.3,52.2
花菜类,2023-07-02,13.2,30.2,44.4
花菜类,2023-07-03,10.6,20.7,32.7
花菜类,2023-07-04,10.4,21.6,34.2
花菜类,2023-07-05,10.9,24.2,31.7
花菜类,2023-07-06,14.1,27.7,37.6
花菜类,2023-07-07,18.7,30.6,40.0
