品类,日期,P50(kg),补货Q(kg),κ*,κ*触界,最优挂牌价(元/kg),无约束内点价P*=1/b,期望销量(kg),期望售罄率,清仓量占比,期望收益(元),收益@κ̄(元),增益(元)
花叶类,2023-07-01,204.6,234.7,1.948,是,10.04,21.4,164.0,0.802,0.152,810.0,244.0,566.0
花叶类,2023-07-02,169.7,194.7,1.948,是,10.04,21.4,135.2,0.797,0.148,664.0,192.0,472.0
花叶类,2023-07-03,130.9,150.2,1.948,是,10.04,21.4,103.3,0.789,0.144,503.0,141.0,363.0
花叶类,2023-07-04,149.0,170.9,1.948,是,10.04,21.4,119.4,0.801,0.153,589.0,178.0,411.0
花叶类,2023-07-05,154.7,177.5,1.948,是,10.04,21.4,124.1,0.802,0.153,613.0,184.0,429.0
花叶类,2023-07-06,150.9,173.1,1.948,是,10.04,21.4,122.3,0.81,0.16,609.0,196.0,413.0
花叶类,2023-07-07,152.2,174.6,1.948,是,10.04,21.4,122.3,0.803,0.154,605.0,178.0,427.0
食用菌,2023-07-01,67.6,74.7,3.237,是,14.63,55.9,57.6,0.852,0.172,559.0,236.0,323.0
食用菌,2023-07-02,59.9,66.2,3.237,是,14.63,55.9,50.5,0.844,0.166,489.0,204.0,284.0
食用菌,2023-07-03,42.5,46.9,3.237,是,14.63,55.9,36.6,0.862,0.178,357.0,152.0,204.0
食用菌,2023-07-04,43.1,47.6,3.237,是,14.63,55.9,36.7,0.851,0.17,356.0,150.0,206.0
食用菌,2023-07-05,52.2,57.6,3.237,是,14.63,55.9,44.8,0.859,0.176,436.0,185.0,251.0
食用菌,2023-07-06,49.8,55.0,3.237,是,14.63,55.9,42.8,0.86,0.177,417.0,178.0,239.0
食用菌,2023-07-07,55.8,61.6,3.237,是,14.63,55.9,47.6,0.853,0.173,462.0,194.0,267.0
辣椒类,2023-07-01,107.2,118.1,5.032,是,22.39,70.9,86.4,0.806,0.188,1467.0,380.0,1086.0
辣椒类,2023-07-02,85.0,93.7,5.032,是,22.39,70.9,68.1,0.801,0.183,1154.0,298.0,857.0
辣椒类,2023-07-03,75.6,83.3,5.032,是,22.39,70.9,61.9,0.819,0.2,1055.0,287.0,768.0
辣椒类,2023-07-04,71.3,78.6,5.032,是,22.39,70.9,57.9,0.812,0.194,985.0,262.0,723.0
辣椒类,2023-07-05,69.3,76.4,5.032,是,22.39,70.9,56.4,0.813,0.195,960.0,256.0,704.0
辣椒类,2023-07-06,79.4,87.5,5.032,是,22.39,70.9,64.0,0.806,0.19,1086.0,284.0,802.0
辣椒类,2023-07-07,77.5,85.4,5.032,是,22.39,70.9,62.3,0.804,0.186,1058.0,273.0,785.0
水生根茎类,2023-07-01,26.9,31.2,1.298,是,23.25,28.4,16.1,0.598,0.064,56.0,-109.0,164.0
水生根茎类,2023-07-02,26.5,30.7,1.298,是,23.25,28.4,15.8,0.596,0.064,53.0,-111.0,164.0
水生根茎类,2023-07-03,15.1,17.5,1.298,是,23.25,28.4,9.0,0.595,0.063,30.0,-63.0,94.0
水生根茎类,2023-07-04,18.5,21.4,1.298,是,23.25,28.4,11.1,0.598,0.064,38.0,-73.0,112.0
水生根茎类,2023-07-05,20.9,24.2,1.298,是,23.25,28.4,12.3,0.59,0.06,39.0,-88.0,127.0
水生根茎类,2023-07-06,28.9,33.5,1.298,是,23.25,28.4,17.1,0.593,0.061,56.0,-126.0,182.0
水生根茎类,2023-07-07,23.5,27.2,1.298,是,23.25,28.4,13.8,0.589,0.061,44.0,-101.0,144.0
茄类,2023-07-01,32.0,34.3,2.387,是,16.29,34.7,24.5,0.766,0.177,230.0,74.0,155.0
茄类,2023-07-02,34.4,36.9,2.387,是,16.29,34.7,26.6,0.773,0.18,250.0,83.0,168.0
茄类,2023-07-03,23.2,24.9,2.387,是,16.29,34.7,17.5,0.755,0.17,162.0,51.0,112.0
茄类,2023-07-04,16.6,17.8,2.387,是,16.29,34.7,12.9,0.775,0.181,121.0,40.0,81.0
茄类,2023-07-05,20.1,21.5,2.387,是,16.29,34.7,15.8,0.785,0.189,150.0,52.0,98.0
茄类,2023-07-06,18.1,19.4,2.387,是,16.29,34.7,13.9,0.766,0.173,130.0,42.0,88.0
茄类,2023-07-07,23.4,25.1,2.387,是,16.29,34.7,18.3,0.783,0.188,174.0,58.0,116.0
花菜类,2023-07-01,34.5,40.8,1.3,是,18.88,22.1,21.6,0.625,0.156,68.0,-70.0,137.0
花菜类,2023-07-02,29.8,35.3,1.3,是,18.88,22.1,18.8,0.632,0.16,63.0,-55.0,118.0
花菜类,2023-07-03,19.7,23.3,1.3,是,18.88,22.1,12.3,0.626,0.154,39.0,-39.0,78.0
花菜类,2023-07-04,20.4,24.1,1.3,是,18.88,22.1,12.4,0.61,0.143,35.0,-46.0,80.0
花菜类,2023-07-05,23.6,27.9,1.3,是,18.88,22.1,15.0,0.634,0.161,50.0,-43.0,93.0
花菜类,2023-07-06,24.8,29.4,1.3,是,18.88,22.1,15.8,0.638,0.164,55.0,-44.0,98.0
花菜类,2023-07-07,28.5,33.7,1.3,是,18.88,22.1,18.3,0.641,0.167,64.0,-42.0,106.0
