品类,日期,P50(kg),补货Q(kg),σ_log,κ̄,κ*,κ*触界,挂牌价(元/kg),期望销量(kg),期望售罄率,清仓量占比,期望收益(元),收益@κ̄(元),增益(元)
花叶类,2023-07-01,209.4,240.2,0.193,0.566,1.529,是,8.61,171.2,0.817,0.148,634.0,202.0,432.0
花叶类,2023-07-02,168.8,193.6,0.253,0.566,1.529,是,8.61,135.2,0.801,0.137,489.0,140.0,349.0
花叶类,2023-07-03,128.1,147.0,0.268,0.566,1.529,是,8.61,101.5,0.792,0.134,362.0,99.0,263.0
花叶类,2023-07-04,147.4,169.1,0.186,0.566,1.529,是,8.61,121.0,0.821,0.151,450.0,147.0,303.0
花叶类,2023-07-05,158.6,181.9,0.205,0.566,1.529,是,8.61,129.9,0.819,0.149,482.0,153.0,330.0
花叶类,2023-07-06,149.4,171.4,0.129,0.566,1.529,是,8.61,124.1,0.83,0.159,468.0,163.0,304.0
花叶类,2023-07-07,145.3,166.7,0.189,0.566,1.529,是,8.61,119.2,0.82,0.15,443.0,138.0,305.0
食用菌,2023-07-01,73.2,80.8,0.281,0.758,1.209,是,7.63,64.8,0.885,0.139,208.0,112.0,97.0
食用菌,2023-07-02,66.1,73.0,0.258,0.758,1.209,是,7.63,58.5,0.885,0.139,188.0,101.0,87.0
食用菌,2023-07-03,45.5,50.2,0.216,0.758,1.209,是,7.63,41.5,0.911,0.15,138.0,76.0,62.0
食用菌,2023-07-04,46.0,50.8,0.237,0.758,1.209,是,7.63,41.2,0.896,0.143,135.0,73.0,62.0
食用菌,2023-07-05,52.2,57.6,0.217,0.758,1.209,是,7.63,47.5,0.909,0.149,158.0,87.0,71.0
食用菌,2023-07-06,53.0,58.5,0.175,0.758,1.209,是,7.63,49.2,0.928,0.159,167.0,94.0,73.0
食用菌,2023-07-07,58.2,64.3,0.205,0.758,1.209,是,7.63,53.0,0.911,0.149,176.0,97.0,79.0
辣椒类,2023-07-01,105.0,115.7,0.304,0.782,1.96,是,10.99,87.6,0.834,0.151,518.0,173.0,345.0
辣椒类,2023-07-02,90.6,99.8,0.276,0.782,1.96,是,10.99,76.3,0.843,0.156,455.0,156.0,300.0
辣椒类,2023-07-03,76.7,84.5,0.164,0.782,1.96,是,10.99,67.8,0.884,0.182,418.0,154.0,264.0
辣椒类,2023-07-04,75.9,83.6,0.175,0.782,1.96,是,10.99,66.8,0.88,0.179,410.0,151.0,259.0
辣椒类,2023-07-05,71.0,78.2,0.205,0.782,1.96,是,10.99,61.6,0.868,0.17,375.0,135.0,240.0
辣椒类,2023-07-06,77.7,85.6,0.221,0.782,1.96,是,10.99,66.6,0.857,0.166,402.0,142.0,260.0
辣椒类,2023-07-07,79.5,87.6,0.196,0.782,1.96,是,10.99,68.9,0.866,0.168,419.0,149.0,270.0
水生根茎类,2023-07-01,28.1,32.5,0.34,0.459,1.032,是,20.55,22.1,0.788,0.042,124.0,24.0,100.0
水生根茎类,2023-07-02,26.0,30.1,0.375,0.459,1.032,是,20.55,20.5,0.788,0.044,115.0,21.0,94.0
水生根茎类,2023-07-03,14.5,16.8,0.38,0.459,1.032,是,20.55,11.3,0.781,0.043,62.0,10.0,52.0
水生根茎类,2023-07-04,19.9,23.0,0.282,0.459,1.032,是,20.55,16.3,0.819,0.048,100.0,28.0,73.0
水生根茎类,2023-07-05,21.3,24.7,0.333,0.459,1.032,是,20.55,16.8,0.791,0.047,95.0,20.0,75.0
水生根茎类,2023-07-06,28.8,33.4,0.465,0.459,1.032,是,20.55,21.5,0.747,0.04,103.0,3.0,100.0
水生根茎类,2023-07-07,25.7,29.8,0.366,0.459,1.032,是,20.55,20.3,0.788,0.046,113.0,22.0,91.0
茄类,2023-07-01,33.5,35.9,0.279,0.606,1.723,是,13.1,28.3,0.845,0.159,192.0,55.0,137.0
茄类,2023-07-02,35.1,37.6,0.273,0.606,1.723,是,13.1,29.6,0.844,0.157,201.0,57.0,144.0
茄类,2023-07-03,26.5,28.4,0.288,0.606,1.723,是,13.1,22.1,0.833,0.153,148.0,41.0,107.0
茄类,2023-07-04,18.5,19.8,0.322,0.606,1.723,是,13.1,15.4,0.833,0.151,103.0,28.0,75.0
茄类,2023-07-05,21.0,22.5,0.21,0.606,1.723,是,13.1,18.3,0.871,0.172,127.0,39.0,88.0
茄类,2023-07-06,20.0,21.4,0.365,0.606,1.723,是,13.1,16.4,0.82,0.145,108.0,29.0,80.0
茄类,2023-07-07,26.4,28.3,0.23,0.606,1.723,是,13.1,22.8,0.863,0.166,157.0,47.0,110.0
花菜类,2023-07-01,34.3,40.6,0.426,0.461,1.742,是,22.51,24.8,0.723,0.135,218.0,9.0,209.0
花菜类,2023-07-02,30.2,35.7,0.473,0.461,1.742,是,22.51,21.4,0.709,0.127,182.0,1.0,181.0
花菜类,2023-07-03,20.7,24.5,0.439,0.461,1.742,是,22.51,15.0,0.725,0.135,132.0,6.0,126.0
花菜类,2023-07-04,21.6,25.6,0.464,0.461,1.742,是,22.51,15.2,0.705,0.13,128.0,1.0,127.0
花菜类,2023-07-05,24.2,28.6,0.416,0.461,1.742,是,22.51,17.4,0.717,0.133,150.0,3.0,147.0
花菜类,2023-07-06,27.7,32.8,0.383,0.461,1.742,是,22.51,20.5,0.739,0.139,186.0,12.0,173.0
花菜类,2023-07-07,30.6,36.2,0.297,0.461,1.742,是,22.51,23.0,0.753,0.149,214.0,25.0,189.0
