模型,品类,WAPE,MASE,RMSSE,pinball10,pinball50,pinball90
季节朴素,花叶类,0.2407,0.9374,0.6725,,,
季节朴素,食用菌,0.2464,1.0597,0.6893,,,
季节朴素,辣椒类,0.2346,1.1174,0.7346,,,
季节朴素,水生根茎类,0.3862,0.813,0.5502,,,
季节朴素,茄类,0.3609,0.9134,0.7018,,,
季节朴素,花菜类,0.367,0.7341,0.6128,,,
STL+岭回归,花叶类,0.2221,0.8552,0.5608,,,
STL+岭回归,食用菌,0.2263,0.9176,0.6017,,,
STL+岭回归,辣椒类,0.2186,1.0304,0.672,,,
STL+岭回归,水生根茎类,0.3786,0.6829,0.4513,,,
STL+岭回归,茄类,0.323,0.8564,0.6521,,,
STL+岭回归,花菜类,0.3561,0.6632,0.5432,,,
STL+LightGBM(无断货处理),花叶类,0.1847,0.7138,0.5035,8.1158,18.0948,11.9217
STL+LightGBM(无断货处理),食用菌,0.194,0.8338,0.5524,4.4747,10.8089,8.163
STL+LightGBM(无断货处理),辣椒类,0.2067,0.9727,0.6283,5.7496,13.8385,9.2544
STL+LightGBM(无断货处理),水生根茎类,0.2995,0.6182,0.418,2.2227,5.504,3.817
STL+LightGBM(无断货处理),茄类,0.2881,0.7416,0.5709,1.1299,2.9414,2.2081
STL+LightGBM(无断货处理),花菜类,0.2953,0.5686,0.4746,2.0019,4.8151,3.4301
STL+LightGBM(断货剔除),花叶类,0.1813,0.6991,0.4937,8.1678,17.7189,12.3345
STL+LightGBM(断货剔除),食用菌,0.1877,0.8057,0.5314,4.2589,10.4389,8.3696
STL+LightGBM(断货剔除),辣椒类,0.2024,0.9482,0.6125,5.8208,13.492,9.3254
STL+LightGBM(断货剔除),水生根茎类,0.3063,0.6339,0.4254,2.2129,5.6431,3.9243
STL+LightGBM(断货剔除),茄类,0.2947,0.7604,0.5827,1.1418,3.0166,2.3154
STL+LightGBM(断货剔除),花菜类,0.2916,0.5593,0.4738,1.9138,4.7365,3.5455
STL+LightGBM(断货修复),花叶类,0.1797,0.6968,0.4936,8.4736,17.6589,12.4179
STL+LightGBM(断货修复),食用菌,0.189,0.8119,0.5338,4.278,10.518,8.1422
STL+LightGBM(断货修复),辣椒类,0.2062,0.9709,0.6235,5.7271,13.8139,9.1713
STL+LightGBM(断货修复),水生根茎类,0.2952,0.6099,0.4093,2.1308,5.427,3.8646
STL+LightGBM(断货修复),茄类,0.2806,0.7272,0.5613,1.176,2.8841,2.1823
STL+LightGBM(断货修复),花菜类,0.2926,0.5645,0.4758,1.895,4.781,3.5261
