品类,销售日期,P10,P50,P90
花叶类,2023-07-01,173.4,204.6,278.7
花叶类,2023-07-02,143.5,169.7,243.3
花叶类,2023-07-03,106.2,130.9,188.7
花叶类,2023-07-04,118.4,149.0,194.7
花叶类,2023-07-05,118.7,154.7,197.0
花叶类,2023-07-06,127.0,150.9,179.0
花叶类,2023-07-07,119.4,152.2,192.3
食用菌,2023-07-01,48.1,67.6,85.8
食用菌,2023-07-02,43.5,59.9,79.0
食用菌,2023-07-03,33.5,42.5,55.6
食用菌,2023-07-04,30.6,43.1,53.4
食用菌,2023-07-05,39.6,52.2,67.0
食用菌,2023-07-06,38.1,49.8,64.4
食用菌,2023-07-07,38.4,55.8,67.2
辣椒类,2023-07-01,79.5,107.2,135.8
辣椒类,2023-07-02,66.5,85.0,117.8
辣椒类,2023-07-03,70.5,75.6,99.7
辣椒类,2023-07-04,60.3,71.3,94.4
辣椒类,2023-07-05,59.3,69.3,90.9
辣椒类,2023-07-06,72.3,79.4,116.7
辣椒类,2023-07-07,64.3,77.5,107.1
水生根茎类,2023-07-01,18.6,26.9,36.8
水生根茎类,2023-07-02,16.7,26.5,38.6
水生根茎类,2023-07-03,9.9,15.1,22.5
水生根茎类,2023-07-04,12.9,18.5,25.9
水生根茎类,2023-07-05,12.2,20.9,27.4
水生根茎类,2023-07-06,15.3,28.9,37.7
水生根茎类,2023-07-07,14.3,23.5,35.7
茄类,2023-07-01,22.3,32.0,48.0
茄类,2023-07-02,23.1,34.4,45.8
茄类,2023-07-03,14.0,23.2,31.5
茄类,2023-07-04,11.5,16.6,23.5
茄类,2023-07-05,14.9,20.1,27.1
茄类,2023-07-06,10.9,18.1,24.7
茄类,2023-07-07,17.9,23.4,34.2
花菜类,2023-07-01,19.2,34.5,54.7
花菜类,2023-07-02,16.9,29.8,42.5
花菜类,2023-07-03,9.6,19.7,28.2
花菜类,2023-07-04,9.6,20.4,31.5
花菜类,2023-07-05,12.9,23.6,29.4
花菜类,2023-07-06,15.4,24.8,36.2
花菜类,2023-07-07,19.1,28.5,35.8
