分类名称,hour,渠道,销量,销量占比,订单,订单占比,折后价比值_加权
水生根茎类,9,品相折扣,404.928000,0.009972,594,0.010134,0.857530
水生根茎类,9,正价,4286.408000,0.105557,6524,0.111306,
水生根茎类,10,品相折扣,599.613000,0.014766,878,0.014980,0.858463
水生根茎类,10,正价,6902.890000,0.169990,9948,0.169723,
水生根茎类,11,品相折扣,397.646000,0.009792,593,0.010117,0.864749
水生根茎类,11,正价,5051.328000,0.124394,7129,0.121628,
水生根茎类,12,品相折扣,196.646000,0.004843,281,0.004794,0.848291
水生根茎类,12,正价,2397.511000,0.059041,3346,0.057086,
水生根茎类,13,品相折扣,113.813000,0.002803,170,0.002900,0.849259
水生根茎类,13,正价,1854.405000,0.045667,2495,0.042567,
水生根茎类,14,品相折扣,126.870000,0.003124,204,0.003480,0.854421
水生根茎类,14,正价,2031.423000,0.050026,2784,0.047498,
水生根茎类,15,品相折扣,180.888000,0.004455,261,0.004453,0.847243
水生根茎类,15,正价,2902.726000,0.071482,4004,0.068312,
水生根茎类,16,品相折扣,226.133000,0.005569,352,0.006005,0.852763
水生根茎类,16,正价,3441.863000,0.084759,4879,0.083241,
水生根茎类,17,品相折扣,256.258000,0.006311,405,0.006910,0.824756
水生根茎类,17,正价,3313.509000,0.081598,4881,0.083275,
水生根茎类,18,品相折扣,285.104000,0.007021,460,0.007848,0.789309
水生根茎类,18,正价,2648.193000,0.065214,3931,0.067067,
水生根茎类,19,正价,1187.869000,0.029252,1647,0.028100,
水生根茎类,19,清仓,424.445000,0.010452,729,0.012438,0.734349
水生根茎类,20,正价,705.395000,0.017371,958,0.016344,
水生根茎类,20,清仓,323.621000,0.007969,636,0.010851,0.667264
水生根茎类,21,正价,232.383000,0.005723,294,0.005016,
水生根茎类,21,清仓,110.227000,0.002714,224,0.003822,0.585555
水生根茎类,22,正价,2.000000,0.000049,2,0.000034,
水生根茎类,22,清仓,3.457000,0.000085,4,0.000068,0.757300
花叶类,8,正价,0.391000,0.000002,1,0.000003,
花叶类,9,品相折扣,290.923000,0.001464,494,0.001489,0.789257
花叶类,9,正价,18381.300000,0.092527,30771,0.092743,
花叶类,10,品相折扣,508.669000,0.002561,849,0.002559,0.793641
花叶类,10,正价,27969.686000,0.140792,47708,0.143790,
花叶类,11,品相折扣,380.589000,0.001916,608,0.001832,0.795373
花叶类,11,正价,21160.650000,0.106517,36007,0.108524,
花叶类,12,品相折扣,213.274000,0.001074,336,0.001013,0.776540
花叶类,12,正价,10744.629000,0.054086,18301,0.055159,
花叶类,13,品相折扣,126.564000,0.000637,197,0.000594,0.769817
花叶类,13,正价,7625.440000,0.038384,12711,0.038310,
花叶类,14,品相折扣,169.987000,0.000856,259,0.000781,0.776087
花叶类,14,正价,8954.848000,0.045076,14600,0.044004,
花叶类,15,品相折扣,298.169000,0.001501,457,0.001377,0.760296
花叶类,15,正价,13154.295000,0.066215,21953,0.066166,
花叶类,16,品相折扣,411.376000,0.002071,619,0.001866,0.741874
花叶类,16,正价,17866.911000,0.089937,30565,0.092122,
花叶类,17,品相折扣,536.420000,0.002700,855,0.002577,0.727379
花叶类,17,正价,19862.946000,0.099985,34582,0.104229,
花叶类,18,品相折扣,1061.227000,0.005342,1444,0.004352,0.675417
花叶类,18,正价,18629.112000,0.093774,33364,0.100558,
花叶类,19,正价,11373.773000,0.057253,19842,0.059803,
花叶类,19,清仓,2783.524000,0.014012,3218,0.009699,0.642758
花叶类,20,正价,7405.753000,0.037279,11608,0.034986,
花叶类,20,清仓,4652.099000,0.023417,5219,0.015730,0.644258
花叶类,21,正价,2104.502000,0.010594,3061,0.009226,
花叶类,21,清仓,1931.506000,0.009723,2082,0.006275,0.623176
花叶类,22,正价,18.216000,0.000092,34,0.000102,
花叶类,22,清仓,42.774000,0.000215,44,0.000133,0.574686
花菜类,9,品相折扣,142.826000,0.003418,314,0.003629,0.834427
花菜类,9,正价,3111.999000,0.074468,6731,0.077793,
花菜类,10,品相折扣,224.557000,0.005373,475,0.005490,0.831939
花菜类,10,正价,5338.422000,0.127745,11319,0.130819,
花菜类,11,品相折扣,141.341000,0.003382,290,0.003352,0.826596
花菜类,11,正价,4412.452000,0.105587,9186,0.106167,
花菜类,12,品相折扣,77.549000,0.001856,164,0.001895,0.815101
花菜类,12,正价,2290.604000,0.054813,4697,0.054286,
花菜类,13,品相折扣,57.932000,0.001386,123,0.001422,0.815866
花菜类,13,正价,1747.429000,0.041815,3580,0.041376,
花菜类,14,品相折扣,67.966000,0.001626,136,0.001572,0.802898
花菜类,14,正价,2023.991000,0.048433,4100,0.047386,
花菜类,15,品相折扣,81.984000,0.001962,183,0.002115,0.797346
花菜类,15,正价,2883.177000,0.068992,5887,0.068039,
花菜类,16,品相折扣,131.970000,0.003158,266,0.003074,0.788086
花菜类,16,正价,3765.319000,0.090101,7675,0.088704,
花菜类,17,品相折扣,153.369000,0.003670,324,0.003745,0.793889
花菜类,17,正价,4170.804000,0.099804,8573,0.099082,
花菜类,18,品相折扣,179.938000,0.004306,380,0.004392,0.744327
花菜类,18,正价,3847.733000,0.092074,7903,0.091339,
花菜类,19,正价,2768.384000,0.066245,5721,0.066120,
花菜类,19,清仓,320.293000,0.007664,668,0.007720,0.709015
花菜类,20,正价,2453.123000,0.058702,4989,0.057660,
花菜类,20,清仓,465.559000,0.011140,925,0.010691,0.675943
花菜类,21,正价,730.698000,0.017485,1505,0.017394,
花菜类,21,清仓,190.519000,0.004559,391,0.004519,0.639944
花菜类,22,正价,7.255000,0.000174,13,0.000150,
花菜类,22,清仓,2.584000,0.000062,6,0.000069,0.572192
茄类,9,品相折扣,47.027000,0.002095,94,0.002094,0.824231
茄类,9,正价,1599.716000,0.071282,3218,0.071701,
茄类,10,品相折扣,66.220000,0.002951,130,0.002897,0.823414
茄类,10,正价,2698.218000,0.120230,5344,0.119070,
茄类,11,品相折扣,63.511000,0.002830,118,0.002629,0.817855
茄类,11,正价,2245.534000,0.100059,4421,0.098505,
茄类,12,品相折扣,31.092000,0.001385,57,0.001270,0.851675
茄类,12,正价,1124.097000,0.050089,2208,0.049197,
茄类,13,品相折扣,17.338000,0.000773,31,0.000691,0.825807
茄类,13,正价,848.936000,0.037828,1657,0.036920,
茄类,14,品相折扣,21.878000,0.000975,44,0.000980,0.838805
茄类,14,正价,1028.825000,0.045843,2003,0.044629,
茄类,15,品相折扣,36.181000,0.001612,69,0.001537,0.850178
茄类,15,正价,1526.550000,0.068022,3073,0.068470,
茄类,16,品相折扣,47.202000,0.002103,90,0.002005,0.828234
茄类,16,正价,1978.901000,0.088178,4029,0.089771,
茄类,17,品相折扣,56.550000,0.002520,106,0.002362,0.842495
茄类,17,正价,2351.828000,0.104795,4727,0.105323,
茄类,18,品相折扣,59.364000,0.002645,117,0.002607,0.814956
茄类,18,正价,2260.098000,0.100708,4597,0.102426,
茄类,19,正价,1793.629000,0.079922,3634,0.080970,
茄类,19,清仓,57.648000,0.002569,105,0.002340,0.827327
茄类,20,正价,1715.331000,0.076434,3465,0.077204,
茄类,20,清仓,69.097000,0.003079,146,0.003253,0.798261
茄类,21,正价,659.442000,0.029384,1325,0.029523,
茄类,21,清仓,24.164000,0.001077,48,0.001069,0.777238
茄类,22,正价,11.002000,0.000490,22,0.000490,
茄类,22,清仓,2.740000,0.000122,3,0.000067,0.826803
辣椒类,9,品相折扣,185.631000,0.002026,286,0.001376,0.707690
辣椒类,9,正价,6171.376000,0.067340,14815,0.071262,
辣椒类,10,品相折扣,290.473000,0.003170,466,0.002242,0.718458
辣椒类,10,正价,10725.359000,0.117031,25179,0.121115,
辣椒类,11,品相折扣,230.816000,0.002519,363,0.001746,0.702937
辣椒类,11,正价,8707.349000,0.095012,20434,0.098290,
辣椒类,12,品相折扣,128.425000,0.001401,200,0.000962,0.727664
辣椒类,12,正价,4877.639000,0.053223,11068,0.053239,
辣椒类,13,品相折扣,102.082000,0.001114,153,0.000736,0.716348
辣椒类,13,正价,3693.226000,0.040299,8367,0.040246,
辣椒类,14,品相折扣,137.466000,0.001500,191,0.000919,0.677953
辣椒类,14,正价,4632.243000,0.050545,10322,0.049650,
辣椒类,15,品相折扣,159.463000,0.001740,241,0.001159,0.690352
辣椒类,15,正价,6537.463000,0.071335,14918,0.071758,
辣椒类,16,品相折扣,224.895000,0.002454,338,0.001626,0.679509
辣椒类,16,正价,8472.168000,0.092445,19461,0.093610,
辣椒类,17,品相折扣,382.626000,0.004175,615,0.002958,0.696791
辣椒类,17,正价,9299.806000,0.101476,21354,0.102716,
辣椒类,18,品相折扣,610.074000,0.006657,848,0.004079,0.675110
辣椒类,18,正价,8807.071000,0.096100,21155,0.101759,
辣椒类,19,正价,6257.277000,0.068277,14681,0.070618,
辣椒类,19,清仓,909.864000,0.009928,1135,0.005460,0.655729
辣椒类,20,正价,5724.249000,0.062461,13491,0.064894,
辣椒类,20,清仓,1398.154000,0.015256,1686,0.008110,0.653783
辣椒类,21,正价,2206.749000,0.024079,5197,0.024998,
辣椒类,21,清仓,735.324000,0.008024,856,0.004117,0.640127
辣椒类,22,正价,24.810000,0.000271,59,0.000284,
辣椒类,22,清仓,13.034000,0.000142,15,0.000072,0.605397
食用菌,9,品相折扣,189.125000,0.002484,479,0.003229,0.784956
食用菌,9,正价,4554.020000,0.059818,9708,0.065444,
食用菌,10,品相折扣,293.440000,0.003854,809,0.005454,0.792660
食用菌,10,正价,8558.085000,0.112412,17777,0.119839,
食用菌,11,品相折扣,210.366000,0.002763,605,0.004078,0.812457
食用菌,11,正价,7392.141000,0.097097,14948,0.100768,
食用菌,12,品相折扣,126.419000,0.001661,326,0.002198,0.763462
食用菌,12,正价,4197.635000,0.055136,8163,0.055029,
食用菌,13,品相折扣,84.643000,0.001112,232,0.001564,0.791236
食用菌,13,正价,3034.178000,0.039854,5852,0.039450,
食用菌,14,品相折扣,127.597000,0.001676,302,0.002036,0.755339
食用菌,14,正价,3557.271000,0.046725,6820,0.045975,
食用菌,15,品相折扣,165.561000,0.002175,411,0.002771,0.765075
食用菌,15,正价,5509.790000,0.072372,10621,0.071599,
食用菌,16,品相折扣,225.458000,0.002961,598,0.004031,0.763065
食用菌,16,正价,7206.326000,0.094656,13850,0.093366,
食用菌,17,品相折扣,241.700000,0.003175,621,0.004186,0.770196
食用菌,17,正价,8382.347000,0.110103,15708,0.105891,
食用菌,18,品相折扣,538.563000,0.007074,1025,0.006910,0.697105
食用菌,18,正价,7573.944000,0.099485,14511,0.097822,
食用菌,19,正价,4685.464000,0.061544,9039,0.060934,
食用菌,19,清仓,1212.235000,0.015923,1814,0.012229,0.649270
食用菌,20,正价,3751.826000,0.049281,7205,0.048571,
食用菌,20,清仓,1980.095000,0.026009,3036,0.020466,0.635354
食用菌,21,正价,1356.177000,0.017814,2417,0.016294,
食用菌,21,清仓,934.754000,0.012278,1409,0.009498,0.628465
食用菌,22,正价,22.891000,0.000301,28,0.000189,
食用菌,22,清仓,19.675000,0.000258,27,0.000182,0.606658
