单品编码,单品名称,分类名称,社团
102900011002414,田七,花叶类,1
102900011009277,荸荠,水生根茎类,1
102900011009444,大龙茄子,茄类,1
102900005116547,金针菇(1),食用菌,1
102900005117209,七彩椒(1),辣椒类,1
102900005119944,海鲜菇(1),食用菌,1
102900011001813,金针菇(袋)(1),食用菌,1
102900051009336,虫草花,食用菌,1
102900005115199,四川红香椿,花叶类,1
102900005116943,红杭椒,辣椒类,1
102900005125808,小米椒,辣椒类,1
102900011009246,鲜木耳(1),食用菌,1
102900011008164,奶白菜,花叶类,1
102900011001806,姬菇(包),食用菌,1
102900005116639,马齿苋,花叶类,1
106930274220092,蟹味菇(袋),食用菌,1
102900011012994,杏鲍菇(袋),食用菌,1
102900005115861,牛首油菜,花叶类,1
102900011006689,东门口小白菜,花叶类,1
102900005119098,双孢菇,食用菌,1
102900011008522,甜白菜,花叶类,1
102900005115786,竹叶菜,花叶类,1
102900005125815,杏鲍菇(1),食用菌,1
102900005115908,菜心,花叶类,1
102900005115878,茼蒿,花叶类,1
102900005116233,红椒(1),辣椒类,1
102900005117056,泡泡椒(精品),辣椒类,1
102900005123880,灯笼椒(1),辣椒类,1
102900011027479,小皱皮,辣椒类,1
102900005118572,本地上海青,花叶类,1
102900005116837,平菇,食用菌,1
102900011022030,组合椒系列,辣椒类,1
102900005115793,小白菜,花叶类,1
102900005116912,姬菇(1),食用菌,1
102900005118817,菠菜,花叶类,1
102900005115960,大白菜,花叶类,1
102900051000463,圆茄子(2),茄类,1
102900005119975,红薯尖,花叶类,1
102900011018095,虫草花(袋),食用菌,1
102900005119968,青杭椒(2),辣椒类,1
102900011001219,红灯笼椒(1),辣椒类,1
102900005122654,枝江红菜苔,花叶类,1
102900005118831,娃娃菜,花叶类,1
102900005115984,云南油麦菜,花叶类,1
102900011000571,随州泡泡青,花叶类,1
106958851400125,海鲜菇(袋)(4),食用菌,1
106949711300068,金针菇(袋)(3),食用菌,1
102900011009970,青梗散花,花菜类,1
102900005115762,苋菜,花叶类,1
102900005115885,蔡甸藜蒿,花叶类,1
102900005116226,青尖椒,辣椒类,1
102900011013274,白玉菇(袋),食用菌,1
102900005116790,黄心菜(1),花叶类,1
102900005115168,牛首生菜,花叶类,1
102900005115748,白菜苔,花叶类,1
102900011029176,辣妹子,辣椒类,1
102900011011546,海鲜菇(袋)(1),食用菌,1
102900005118824,高瓜(1),水生根茎类,1
102900051004294,青线椒,辣椒类,1
102900011032206,青杭椒(份),辣椒类,2
102900011035764,龙牙菜,花叶类,2
102900011030141,上海青(份),花叶类,2
102900011030134,菜心(份),花叶类,2
102900011032237,青线椒(份),辣椒类,2
106949711300259,金针菇(盒),食用菌,2
102900011033920,黄心菜(2),花叶类,2
102900011032244,红尖椒(份),辣椒类,2
102900011030059,云南生菜(份),花叶类,2
102900051000944,洪湖藕带,水生根茎类,2
102900005115250,西峡花菇(1),食用菌,2
102900011033906,保康高山大白菜,花叶类,2
102900011031582,青尖椒(份),辣椒类,2
102900011033944,杏鲍菇(2),食用菌,2
102900011032022,小皱皮(份),辣椒类,2
102900011007969,红莲藕带,水生根茎类,2
102900011030912,海鲜菇(份),食用菌,2
102900011021842,洪湖莲藕(粉藕),水生根茎类,2
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,2
102900011001691,菱角,水生根茎类,2
102900011035078,红椒(2),辣椒类,2
102900011001561,莲蓬(个),水生根茎类,2
102900011032732,高瓜(2),水生根茎类,2
102900011030097,云南油麦菜(份),花叶类,2
102900011032343,七彩椒(2),辣椒类,2
102900011010891,野藕(1),水生根茎类,2
102900011031100,小米椒(份),辣椒类,2
102900011030110,菠菜(份),花叶类,2
102900011032619,西峡香菇(2),食用菌,2
102900011032213,红杭椒(份),辣椒类,2
102900011034026,枝江青梗散花,花菜类,2
102900011030929,鲜木耳(份),食用菌,2
102900011033937,金针菇(2),食用菌,2
106971533450003,海鲜菇(包),食用菌,2
102900011007464,紫苏,花叶类,2
102900011035771,黄白菜(1),花叶类,2
102900011034224,小青菜(份),花叶类,2
102900011032848,姜蒜小米椒组合装(小份),辣椒类,2
102900011035788,西峡香菇(份),食用菌,2
102900011035511,净藕(3),水生根茎类,2
102900011023464,小青菜(1),花叶类,2
102900011032251,螺丝椒(份),辣椒类,2
102900011034330,双孢菇(盒),食用菌,2
102900011031995,姬菇(份),食用菌,2
102900011034231,奶白菜(份),花叶类,2
102900011007044,银耳(朵),食用菌,2
102900011032367,红灯笼椒(2),辣椒类,2
102900011032787,竹叶菜(份),花叶类,2
102900011034439,青红杭椒组合装(份),辣椒类,2
102900011031926,虫草花(份),食用菌,2
102900011022849,本地黄心油菜,花叶类,2
102900011030905,鱼腥草(份),花叶类,2
102900005116219,红尖椒,辣椒类,3
102900011032350,灯笼椒(2),辣椒类,3
102900005115946,木耳菜,花叶类,3
102900011032220,水果辣椒(份),辣椒类,3
102900005115854,萝卜叶,花叶类,3
102900011006948,外地茼蒿,花叶类,3
106949711300167,金针菇(袋)(2),食用菌,3
102900011030103,茼蒿(份),花叶类,3
102900011022764,长线茄,茄类,3
102900011016909,花茄子,茄类,3
106971533455008,海鲜菇(袋)(3),食用菌,3
